"DeviceName","SerialNumber","Model","Manufacturer","AutopilotID","IntuneID","InIntune","InAutopilot","LastSyncDateTime","DaysSinceLastSync","SyncStatus","EnrollmentState","DeploymentProfileAssigned","ComplianceState","OSVersion","PrimaryUser","UserEmail","ManagementState","IsEncrypted","AzureADRegistered","AutopilotEnrolled","GroupTag","RecommendedAction"
"Not in Intune","5CG1115GLR","HP ProBook x360 11 G7 Education Edition","HP","3de382f4-37e0-43f2-b270-95112dcf8206","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GW5","HP ProBook x360 11 G7 Education Edition","HP","9349724f-79e4-412b-acc0-5f0296def7cd","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GWD","HP ProBook x360 11 G7 Education Edition","HP","4c6208bf-e9f5-4f10-9ce2-b99286eef63e","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GWM","HP ProBook x360 11 G7 Education Edition","HP","4901ad72-1133-4e63-b560-03d699a32f71","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GWS","HP ProBook x360 11 G7 Education Edition","HP","736c64c9-87ef-4015-a4ab-69d761da6093","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GZ6","HP ProBook x360 11 G7 Education Edition","HP","e3b6a19c-7119-4764-b8da-57674caef884","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115GZY","HP ProBook x360 11 G7 Education Edition","HP","0262c6bb-1958-4b4a-bb78-0540fa6f18fb","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115H03","HP ProBook x360 11 G7 Education Edition","HP","3e73d04c-5ceb-4e76-8677-f78045356133","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115H5C","HP ProBook x360 11 G7 Education Edition","HP","7aa3b3f3-841d-4b06-a835-660f49baab11","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115H62","HP ProBook x360 11 G7 Education Edition","HP","e4e0e55b-922c-42e2-9ad3-2c07497d5dea","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG1115H6S","HP ProBook x360 11 G7 Education Edition","HP","1e6150cb-1df6-4cb9-be99-fe434de11b05","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOb4d1c0371CSV-1_2596947 4504105","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
